name,code,begin_date,end_date,member_id
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,C000141
Committee on Foreign Relations,SSFR,,2025-01-03,C000141
Committee on Environment and Public Works,SSEV,,2025-01-03,C000141
Committee on Finance,SSFI,,2025-01-03,C000174
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,C000174
Committee on Environment and Public Works,SSEV,,2025-01-03,C000174
Committee on Finance,SSFI,,2025-01-03,C001070
Select Committee on Intelligence,SLIN,,2025-01-03,C001070
Special Committee on Aging,SPAG,,2025-01-03,C001070
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,C001070
Committee on Veterans' Affairs,SSVA,,2025-01-03,C001075
Committee on Finance,SSFI,,2025-01-03,C001075
Committee on Energy and Natural Resources,SSEG,,2025-01-03,C001075
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,C001075
Select Committee on Intelligence,SLIN,,2025-01-03,C001035
Committee on Appropriations,SSAP,,2025-01-03,C001035
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,C001035
Select Committee on Ethics,SLET,,2025-01-03,C001088
Committee on Appropriations,SSAP,,2025-01-03,C001088
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,C001088
Committee on Foreign Relations,SSFR,,2025-01-03,C001088
Committee on the Judiciary,SSJU,,2025-01-03,C001088
Committee on Finance,SSFI,,2025-01-03,C001056
Select Committee on Intelligence,SLIN,,2025-01-03,C001056
United States Caucus on International Narcotics Control,SCNC,,2025-01-03,C001056
Committee on the Judiciary,SSJU,,2025-01-03,C001056
Committee on Finance,SSFI,,2025-01-03,C001113
Committee on Indian Affairs,SLIA,,2025-01-03,C001113
Committee on Energy and Natural Resources,SSEG,,2025-01-03,C001113
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,C001113
Select Committee on Intelligence,SLIN,,2025-01-03,C001095
Committee on Armed Services,SSAS,,2025-01-03,C001095
Joint Economic Committee,JSEC,,2025-01-03,C001095
Committee on the Judiciary,SSJU,,2025-01-03,C001095
Committee on Veterans' Affairs,SSVA,,2025-01-03,C001096
Committee on Armed Services,SSAS,,2025-01-03,C001096
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,C001096
Committee on Environment and Public Works,SSEV,,2025-01-03,C001096
Joint Committee on Taxation,JSTX,,2025-01-03,C000880
Committee on Finance,SSFI,,2025-01-03,C000880
Committee on the Budget,SSBU,,2025-01-03,C000880
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,C000880
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,C001098
Committee on Rules and Administration,SSRA,,2025-01-03,C001098
Committee on Foreign Relations,SSFR,,2025-01-03,C001098
Committee on the Judiciary,SSJU,,2025-01-03,C001098
Committee on Finance,SSFI,,2025-01-03,D000618
Committee on Indian Affairs,SLIA,,2025-01-03,D000618
Committee on Energy and Natural Resources,SSEG,,2025-01-03,D000618
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,D000618
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,D000622
Committee on Armed Services,SSAS,,2025-01-03,D000622
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,D000622
Committee on Foreign Relations,SSFR,,2025-01-03,D000622
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,D000563
Committee on Appropriations,SSAP,,2025-01-03,D000563
Committee on the Judiciary,SSJU,,2025-01-03,D000563
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,E000295
Committee on Armed Services,SSAS,,2025-01-03,E000295
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,E000295
Select Committee on Intelligence,SLIN,,2023-09-28,F000062
Committee on Appropriations,SSAP,,2023-09-28,F000062
Committee on Rules and Administration,SSRA,,2023-09-28,F000062
Committee on the Judiciary,SSJU,,2023-09-28,F000062
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,F000479
Special Committee on Aging,SPAG,,2025-01-03,F000479
Joint Economic Committee,JSEC,,2025-01-03,F000479
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,F000479
Committee on Environment and Public Works,SSEV,,2025-01-03,F000479
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,F000463
Select Committee on Ethics,SLET,,2025-01-03,F000463
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,F000463
Committee on Armed Services,SSAS,,2025-01-03,F000463
Joint Committee on the Library,JSLC,,2025-01-03,F000463
Committee on Rules and Administration,SSRA,,2025-01-03,F000463
Joint Committee on Printing,JSPR,,2025-01-03,F000463
Committee on Appropriations,SSAP,,2025-01-03,F000463
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,G000555
Select Committee on Intelligence,SLIN,,2025-01-03,G000555
Committee on Armed Services,SSAS,,2025-01-03,G000555
Special Committee on Aging,SPAG,,2025-01-03,G000555
Committee on Appropriations,SSAP,,2025-01-03,G000359
Committee on the Budget,SSBU,,2025-01-03,G000359
Committee on the Judiciary,SSJU,,2025-01-03,G000359
Committee on Environment and Public Works,SSEV,,2025-01-03,G000359
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,G000386
Joint Committee on Taxation,JSTX,,2025-01-03,G000386
Committee on Finance,SSFI,,2025-01-03,G000386
United States Caucus on International Narcotics Control,SCNC,,2025-01-03,G000386
Committee on the Budget,SSBU,,2025-01-03,G000386
Committee on the Judiciary,SSJU,,2025-01-03,G000386
Committee on Rules and Administration,SSRA,,2025-01-03,H000601
Joint Committee on Printing,JSPR,,2025-01-03,H000601
Committee on Appropriations,SSAP,,2025-01-03,H000601
Committee on Foreign Relations,SSFR,,2025-01-03,H000601
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,H000601
Committee on Veterans' Affairs,SSVA,,2025-01-03,H001076
Committee on Finance,SSFI,,2025-01-03,H001076
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,H001076
United States Caucus on International Narcotics Control,SCNC,,2025-01-03,H001076
Joint Economic Committee,JSEC,,2025-01-03,H001076
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,H001076
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,H001089
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,H001089
Committee on Energy and Natural Resources,SSEG,,2025-01-03,H001089
Committee on the Judiciary,SSJU,,2025-01-03,H001089
Select Committee on Intelligence,SLIN,,2025-01-03,H001046
Joint Economic Committee,JSEC,,2025-01-03,H001046
Committee on Appropriations,SSAP,,2025-01-03,H001046
Committee on Energy and Natural Resources,SSEG,,2025-01-03,H001046
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,H000273
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,H000273
Committee on Energy and Natural Resources,SSEG,,2025-01-03,H000273
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,H000273
Committee on Veterans' Affairs,SSVA,,2025-01-03,H001042
Committee on Armed Services,SSAS,,2025-01-03,H001042
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,H001042
Committee on Energy and Natural Resources,SSEG,,2025-01-03,H001042
Committee on the Judiciary,SSJU,,2025-01-03,H001042
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,H001061
Committee on Indian Affairs,SLIA,,2025-01-03,H001061
Committee on Appropriations,SSAP,,2025-01-03,H001061
Committee on Energy and Natural Resources,SSEG,,2025-01-03,H001061
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,H001079
Joint Committee on the Library,JSLC,,2025-01-03,H001079
Committee on Rules and Administration,SSRA,,2025-01-03,H001079
Committee on Appropriations,SSAP,,2025-01-03,H001079
Committee on Energy and Natural Resources,SSEG,,2025-01-03,H001079
Committee on Finance,SSFI,,2025-01-03,J000293
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,J000293
Committee on the Budget,SSBU,,2025-01-03,J000293
Committee on Armed Services,SSAS,,2025-01-03,K000384
Committee on the Budget,SSBU,,2025-01-03,K000384
Committee on Foreign Relations,SSFR,,2025-01-03,K000384
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,K000384
Special Committee on Aging,SPAG,,2025-01-03,K000377
Committee on Armed Services,SSAS,,2025-01-03,K000377
Joint Economic Committee,JSEC,,2025-01-03,K000377
Committee on Energy and Natural Resources,SSEG,,2025-01-03,K000377
Committee on Environment and Public Works,SSEV,,2025-01-03,K000377
Committee on Appropriations,SSAP,,2025-01-03,K000393
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,K000393
Committee on the Budget,SSBU,,2025-01-03,K000393
Committee on the Judiciary,SSJU,,2025-01-03,K000393
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,K000393
Committee on Veterans' Affairs,SSVA,,2025-01-03,K000383
Select Committee on Intelligence,SLIN,,2025-01-03,K000383
Committee on Armed Services,SSAS,,2025-01-03,K000383
Committee on Energy and Natural Resources,SSEG,,2025-01-03,K000383
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,K000367
Joint Economic Committee,JSEC,,2025-01-03,K000367
Joint Committee on the Library,JSLC,,2025-01-03,K000367
Committee on Rules and Administration,SSRA,,2025-01-03,K000367
Joint Committee on Printing,JSPR,,2025-01-03,K000367
Committee on the Judiciary,SSJU,,2025-01-03,K000367
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,K000367
Select Committee on Ethics,SLET,,2025-01-03,L000575
Committee on Finance,SSFI,,2025-01-03,L000575
Select Committee on Intelligence,SLIN,,2025-01-03,L000575
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,L000575
Joint Economic Committee,JSEC,,2025-01-03,L000577
Committee on Energy and Natural Resources,SSEG,,2025-01-03,L000577
Committee on the Budget,SSBU,,2025-01-03,L000577
Committee on the Judiciary,SSJU,,2025-01-03,L000577
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,L000570
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,L000570
United States Caucus on International Narcotics Control,SCNC,,2025-01-03,L000570
Committee on Indian Affairs,SLIA,,2025-01-03,L000570
Committee on the Budget,SSBU,,2025-01-03,L000570
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,L000570
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,L000571
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,L000571
Committee on Environment and Public Works,SSEV,,2025-01-03,L000571
Committee on Veterans' Affairs,SSVA,,2025-01-03,M001183
Committee on Armed Services,SSAS,,2025-01-03,M001183
Committee on Appropriations,SSAP,,2025-01-03,M001183
Committee on Energy and Natural Resources,SSEG,,2025-01-03,M001183
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,M000133
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,M000133
Committee on Environment and Public Works,SSEV,,2025-01-03,M000133
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,M000133
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,M001198
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,M001198
Committee on the Budget,SSBU,,2025-01-03,M001198
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,M001198
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,M000355
Select Committee on Intelligence,SLIN,,2025-01-03,M000355
Committee on Rules and Administration,SSRA,,2025-01-03,M000355
Committee on Appropriations,SSAP,,2025-01-03,M000355
Committee on Finance,SSFI,,2025-01-03,M000639
Committee on Foreign Relations,SSFR,,2025-01-03,M000639
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,M000639
Committee on Rules and Administration,SSRA,,2025-01-03,M001176
Committee on Appropriations,SSAP,,2025-01-03,M001176
Joint Committee on Printing,JSPR,,2025-01-03,M001176
Committee on the Budget,SSBU,,2025-01-03,M001176
Committee on Foreign Relations,SSFR,,2025-01-03,M001176
Committee on Environment and Public Works,SSEV,,2025-01-03,M001176
Committee on Veterans' Affairs,SSVA,,2025-01-03,M000934
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,M000934
Select Committee on Intelligence,SLIN,,2025-01-03,M000934
Committee on Appropriations,SSAP,,2025-01-03,M000934
Committee on Armed Services,SSAS,,2025-01-03,M001190
Committee on Indian Affairs,SLIA,,2025-01-03,M001190
Committee on Environment and Public Works,SSEV,,2025-01-03,M001190
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,M001190
Committee on Indian Affairs,SLIA,,2025-01-03,M001153
Committee on Appropriations,SSAP,,2025-01-03,M001153
Committee on Energy and Natural Resources,SSEG,,2025-01-03,M001153
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,M001153
Committee on Appropriations,SSAP,,2025-01-03,M001169
Committee on Foreign Relations,SSFR,,2025-01-03,M001169
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,M001169
Committee on Veterans' Affairs,SSVA,,2025-01-03,M001111
Committee on Appropriations,SSAP,,2025-01-03,M001111
Committee on the Budget,SSBU,,2025-01-03,M001111
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,M001111
Select Committee on Intelligence,SLIN,,2025-01-03,O000174
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,O000174
Joint Committee on the Library,JSLC,,2025-01-03,O000174
Committee on Rules and Administration,SSRA,,2025-01-03,O000174
Committee on the Judiciary,SSJU,,2025-01-03,O000174
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,P000145
Committee on Rules and Administration,SSRA,,2025-01-03,P000145
Joint Committee on Printing,JSPR,,2025-01-03,P000145
Committee on the Budget,SSBU,,2025-01-03,P000145
Committee on the Judiciary,SSJU,,2025-01-03,P000145
Committee on Environment and Public Works,SSEV,,2025-01-03,P000145
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,P000603
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,P000603
Committee on Foreign Relations,SSFR,,2025-01-03,P000603
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,P000603
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,P000595
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,P000595
Committee on Armed Services,SSAS,,2025-01-03,P000595
Committee on Appropriations,SSAP,,2025-01-03,P000595
Select Committee on Intelligence,SLIN,,2025-01-03,R000122
Committee on Armed Services,SSAS,,2025-01-03,R000122
Committee on Appropriations,SSAP,,2025-01-03,R000122
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,R000122
Special Committee on Aging,SPAG,,2025-01-03,R000618
Committee on Foreign Relations,SSFR,,2025-01-03,R000618
Committee on Environment and Public Works,SSEV,,2025-01-03,R000618
Select Committee on Ethics,SLET,,2025-01-03,R000584
Select Committee on Intelligence,SLIN,,2025-01-03,R000584
United States Caucus on International Narcotics Control,SCNC,,2025-01-03,R000584
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,R000584
Committee on Energy and Natural Resources,SSEG,,2025-01-03,R000584
Committee on Foreign Relations,SSFR,,2025-01-03,R000584
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,R000615
Committee on the Budget,SSBU,,2025-01-03,R000615
Committee on Foreign Relations,SSFR,,2025-01-03,R000615
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,R000615
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,R000608
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,R000608
Committee on Armed Services,SSAS,,2025-01-03,R000608
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,R000608
Committee on Veterans' Affairs,SSVA,,2025-01-03,R000605
Select Committee on Intelligence,SLIN,,2025-01-03,R000605
Committee on Armed Services,SSAS,,2025-01-03,R000605
Committee on Indian Affairs,SLIA,,2025-01-03,R000605
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,R000605
Select Committee on Intelligence,SLIN,,2025-01-03,R000595
Special Committee on Aging,SPAG,,2025-01-03,R000595
Committee on Appropriations,SSAP,,2025-01-03,R000595
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,R000595
Committee on Foreign Relations,SSFR,,2025-01-03,R000595
Committee on Veterans' Affairs,SSVA,,2025-01-03,S000033
Committee on the Budget,SSBU,,2025-01-03,S000033
Committee on Energy and Natural Resources,SSEG,,2025-01-03,S000033
Committee on Environment and Public Works,SSEV,,2025-01-03,S000033
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,S000033
Select Committee on Ethics,SLET,,2025-01-03,S001194
Committee on Indian Affairs,SLIA,,2025-01-03,S001194
Committee on Appropriations,SSAP,,2025-01-03,S001194
Committee on Foreign Relations,SSFR,,2025-01-03,S001194
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,S001194
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,S001227
Committee on Armed Services,SSAS,,2025-01-03,S001227
Joint Economic Committee,JSEC,,2025-01-03,S001227
Select Committee on Intelligence,SLIN,,2025-01-03,S000148
Committee on Rules and Administration,SSRA,,2025-01-03,S000148
Committee on Finance,SSFI,,2025-01-03,S001184
Special Committee on Aging,SPAG,,2025-01-03,S001184
Commission on Security and Cooperation in Europe,JCSE,,2025-01-03,S001184
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,S001184
Committee on Foreign Relations,SSFR,,2025-01-03,S001184
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,S001184
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,S001217
Special Committee on Aging,SPAG,,2025-01-03,S001217
Committee on Armed Services,SSAS,,2025-01-03,S001217
Committee on the Budget,SSBU,,2025-01-03,S001217
Select Committee on Ethics,SLET,,2025-01-03,S001181
Committee on Armed Services,SSAS,,2025-01-03,S001181
Commission on Security and Cooperation in Europe,JCSE,,2025-01-03,S001181
Committee on Appropriations,SSAP,,2025-01-03,S001181
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,S001181
Committee on Foreign Relations,SSFR,,2025-01-03,S001181
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,S001191
Committee on Veterans' Affairs,SSVA,,2025-01-03,S001191
Committee on Homeland Security and Governmental Affairs,SSGA,,2025-01-03,S001191
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,S001191
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,S001203
Commission on Security and Cooperation in Europe,JCSE,,2025-01-03,S001203
Committee on Indian Affairs,SLIA,,2025-01-03,S001203
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,S001203
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,S001203
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,S000770
Committee on Finance,SSFI,,2025-01-03,S000770
Joint Committee on Taxation,JSTX,,2025-01-03,S000770
Committee on the Budget,SSBU,,2025-01-03,S000770
Committee on Environment and Public Works,SSEV,,2025-01-03,S000770
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,S001198
Committee on Veterans' Affairs,SSVA,,2025-01-03,S001198
Committee on Armed Services,SSAS,,2025-01-03,S001198
Committee on Environment and Public Works,SSEV,,2025-01-03,S001198
Committee on Veterans' Affairs,SSVA,,2025-01-03,T000464
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,T000464
Committee on Indian Affairs,SLIA,,2025-01-03,T000464
Committee on Appropriations,SSAP,,2025-01-03,T000464
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,T000464
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,T000250
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,T000250
Committee on Finance,SSFI,,2025-01-03,T000250
Committee on Veterans' Affairs,SSVA,,2025-01-03,T000476
Committee on Finance,SSFI,,2025-01-03,T000476
Commission on Security and Cooperation in Europe,JCSE,,2025-01-03,T000476
Committee on the Judiciary,SSJU,,2025-01-03,T000476
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,T000476
Committee on Veterans' Affairs,SSVA,,2025-01-03,T000278
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,T000278
Committee on Armed Services,SSAS,,2025-01-03,T000278
"Committee on Health, Education, Labor, and Pensions",SSHR,,2025-01-03,T000278
Committee on Appropriations,SSAP,,2025-01-03,V000128
Committee on the Budget,SSBU,,2025-01-03,V000128
Committee on Foreign Relations,SSFR,,2025-01-03,V000128
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,V000128
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,V000137
Special Committee on Aging,SPAG,,2025-01-03,V000137
Joint Economic Committee,JSEC,,2025-01-03,V000137
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,V000137
Select Committee on Intelligence,SLIN,,2025-01-03,W000805
Committee on Finance,SSFI,,2025-01-03,W000805
Joint Committee on the Library,JSLC,,2025-01-03,W000805
Committee on Rules and Administration,SSRA,,2025-01-03,W000805
Committee on the Budget,SSBU,,2025-01-03,W000805
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,W000805
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,W000790
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,W000790
Special Committee on Aging,SPAG,,2025-01-03,W000790
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,W000790
Committee on Finance,SSFI,,2025-01-03,W000817
Special Committee on Aging,SPAG,,2025-01-03,W000817
Committee on Armed Services,SSAS,,2025-01-03,W000817
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2025-01-03,W000817
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,W000800
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2025-01-03,W000800
Joint Economic Committee,JSEC,,2025-01-03,W000800
Committee on Rules and Administration,SSRA,,2025-01-03,W000800
Committee on the Judiciary,SSJU,,2025-01-03,W000800
Committee on Finance,SSFI,,2025-01-03,W000802
United States Caucus on International Narcotics Control,SCNC,,2025-01-03,W000802
Commission on Security and Cooperation in Europe,JCSE,,2025-01-03,W000802
Committee on the Budget,SSBU,,2025-01-03,W000802
Committee on the Judiciary,SSJU,,2025-01-03,W000802
Committee on Environment and Public Works,SSEV,,2025-01-03,W000802
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,W000437
Select Committee on Intelligence,SLIN,,2025-01-03,W000437
Committee on Armed Services,SSAS,,2025-01-03,W000437
Commission on Security and Cooperation in Europe,JCSE,,2025-01-03,W000437
Committee on Rules and Administration,SSRA,,2025-01-03,W000437
Committee on Environment and Public Works,SSEV,,2025-01-03,W000437
Committee on Finance,SSFI,,2025-01-03,W000779
Select Committee on Intelligence,SLIN,,2025-01-03,W000779
Joint Committee on Taxation,JSTX,,2025-01-03,W000779
Committee on the Budget,SSBU,,2025-01-03,W000779
Committee on Energy and Natural Resources,SSEG,,2025-01-03,W000779
"Committee on Commerce, Science, and Transportation",SSCM,,2025-01-03,Y000064
Committee on Finance,SSFI,,2025-01-03,Y000064
Committee on Small Business and Entrepreneurship,SSSB,,2025-01-03,Y000064
Committee on Foreign Relations,SSFR,,2025-01-03,Y000064
Committee on Education and the Workforce,HSED,,2025-01-03,A000370
Committee on Agriculture,HSAG,,2025-01-03,A000370
Committee on Appropriations,HSAP,,2025-01-03,A000055
Committee on Appropriations,HSAP,,2025-01-03,A000371
Committee on Armed Services,HSAS,,2025-01-03,A000379
Committee on Small Business,HSSM,,2025-01-03,A000379
Committee on Agriculture,HSAG,,2025-01-03,A000379
Committee on Energy and Commerce,HSIF,,2025-01-03,A000372
Committee on Education and the Workforce,HSED,,2025-01-03,A000372
Committee on Foreign Affairs,HSFA,,2025-01-03,A000376
Committee on Transportation and Infrastructure,HSPW,,2025-01-03,A000376
